name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_A- major,key_B major,key_B- major,key_C major,key_C# major,key_D major,key_E major,key_E- major,key_F major,key_F# major,key_G major,key_a minor,key_b minor,key_b- minor,key_c minor,key_c# minor,key_d minor,key_e minor,key_e- minor,key_f minor,key_f# minor,key_g minor,time signature_1/4,time signature_2/4,time signature_2/8,time signature_3/4,time signature_3/8,time signature_4/4
bluegrass22.mid,0.9555293969766823,30,88,58,121,94,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bluegrass2.mid,0.8299584449139779,29,86,57,120,96,Blue,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bluegrass1.mid,0.778335235386296,33,81,48,242,109,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blueflag3.mid,0.7497336129355258,36,101,65,156,99,Blue,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
blueeyesblue.mid,0.9135725775509557,26,88,62,134,72,Blue,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlueEyes.mid,0.8100088239103613,36,93,57,70,79,Blue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blueflag.mid,0.7235512372650378,36,101,65,156,99,Blue,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
blueeye.mid,0.9594607107324366,35,81,46,110,89,Blue,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlueEyes2.mid,0.8111379743505044,36,93,57,70,79,Blue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluedreamer.mid,0.9023220426571,29,84,55,80,71,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluedanube3.mid,0.8463238918610851,27,103,76,100,69,Blue,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluedanube2.mid,0.9448840164238541,40,93,53,183,125,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BlueDanube.mid,0.9176474456348008,31,93,62,118,84,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
blueberry.mid,0.873670037277053,32,87,55,100,78,Blue,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Blueberry-Hill-3.mid,0.8087868936613849,31,80,49,120,103,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Blueberry-Hill-2.mid,0.846962377752325,29,82,53,82,97,Blue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blueberry_hill2.mid,0.877359260297586,31,72,41,100,108,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlueberryHill.mid,0.9341300469171794,28,81,53,100,98,Blue,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluebayou3.mid,0.7857283889008072,32,93,61,109,110,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Blueberry-Hill-1.mid,0.8613488568010503,36,86,50,93,62,Blue,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlueberryHill3.mid,0.9392299896907508,28,74,46,100,92,Blue,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluebyu.mid,0.7938118719550338,29,101,72,80,68,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blueda.mid,0.8049027955104062,18,87,69,129,124,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
BlueChristmas.mid,0.9654036909618364,35,86,51,104,63,Blue,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluecars.mid,0.8960966705693374,37,76,39,120,100,Blue,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluedanu.mid,0.9308136096562065,36,95,59,195,66,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bluedan.mid,0.9448862939106784,40,93,53,183,125,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bluebox.mid,0.8514936347388627,27,85,58,100,47,Blue,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlueBird.mid,0.930258437306156,27,113,86,88,76,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
BLUEBERY.MID,0.9331217263481246,28,76,48,75,97,Blue,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluebayou2.mid,0.9269051818571888,31,98,67,110,70,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlueBayou.mid,0.8592118456322781,28,86,58,120,72,Blue,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bluebayo.mid,0.8902038514573994,33,83,50,110,78,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blueangel.mid,0.8658620110531602,21,79,58,111,71,Blue,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blue08.mid,0.8674175809972791,40,77,37,169,56,Blue,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
blue07.mid,0.957428134668095,31,107,76,84,52,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blue06.mid,0.7899516657771992,27,83,56,92,107,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
blue05.mid,0.8299329860520795,15,82,67,129,90,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
blue5.mid,0.9345104539240741,63,76,13,65,100,Blue,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
blue04.mid,0.8674175809972791,40,77,37,169,56,Blue,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Beatles - For You Blue.mid,0.8489286611199391,29,89,60,135,88,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Beatles - Blue Jay Way.mid,0.6853292027871118,35,79,44,80,93,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paul McCartney - Bluebird.mid,0.9299476428723539,26,112,86,88,75,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Neil Diamond - Song Sung Blue.mid,0.8722273057329591,24,94,70,110,106,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Moby - The Blue Terror of Lawns.mid,0.7670281352070011,40,81,41,86,72,Blue,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paul Mauriat - Love is Blue.mid,0.7797594164265343,36,96,60,115,64,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
New Order - Blue Monday.mid,0.5751970313134684,24,88,64,133,95,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Orgy - Blue Monday.mid,0.5751970313134684,24,88,64,133,95,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Michael Johnson - Bluer than Blue.mid,0.8523593224529058,33,84,51,123,110,Blue,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Melissa Manchester - Midnight Blue.mid,0.8748958361163448,29,93,64,98,87,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Linda Ronstadt - Blue Bayou.mid,0.8664488313532502,26,81,55,120,114,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Marcels - Blue Moon.mid,0.8273855983812783,31,91,60,134,103,Blue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leon Russell - Lady Blue.mid,0.7489600919457382,31,86,55,83,110,Blue,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LeAnn Rimes - Blue.mid,0.7766981883022493,27,83,56,92,107,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Forever-Blue.mid,0.7279141085401066,28,93,65,88,71,Blue,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Electric_Blue.mid,0.8625671221828871,28,95,67,76,78,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Foreigner - Blue Morning.mid,0.8342286781212337,28,86,58,121,106,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eiffel 65 - Blue Da Ba Dee.mid,0.8150931627301786,26,91,65,130,102,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Forever-In-Blue-Jeans.mid,0.7935103770596735,28,88,60,93,92,Blue,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Enya - Carribean Blue.mid,0.8674175809972791,40,77,37,169,56,Blue,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dj Ali - Eiffel blue.mid,0.7912233969827818,28,75,47,129,104,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Devil-With-A-Blue-Dress.mid,0.7604846969677739,24,88,64,173,77,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Deep_Purple_-_Rat_Bat_Blue.mid,0.8061987029717647,28,96,68,96,113,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Deep Purple - Rat Bat Blue.mid,0.8061987029717647,28,96,68,96,113,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chip-Blues.mid,0.7760693386027144,29,94,65,136,108,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Carl Nicholson - Blueprint (Tara_s Theme).mid,0.9318738024541188,50,79,29,149,99,Blue,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Castlevania Portrait of Ruin - Iron Blue Intention.mid,0.8767096694002158,28,105,77,140,63,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Concord-Blues-For-Blue.mid,0.8044884409014085,29,91,62,130,89,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Caribbean-Blue.mid,0.8658503702935294,40,77,37,169,56,Blue,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BOWIE.Blue Jean k.mid,0.9878887154469144,30,83,53,122,94,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bonnie_blue.mid,0.8565424470558634,36,89,53,120,110,Blue,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
borntobeblue.mid,0.8452374990992312,21,108,87,120,82,Blue,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bonnieblueflag.mid,0.7497336129355258,36,101,65,156,99,Blue,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bobby_Vinton_-_Blue_Velvet.mid,0.9101806861241521,29,82,53,80,126,Blue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bobby Vinton - Blue Velvet.mid,0.9101806861241521,29,82,53,80,126,Blue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluevelvet.mid,0.9101806861241521,29,82,53,80,125,Blue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluevelvet3.mid,0.9101806861241521,36,82,46,80,126,Blue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluevelvet03.mid,0.9101806861241521,29,94,65,77,125,Blue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluevelvet_bobbyvinton.mid,0.6490813442524008,29,101,72,81,86,Blue,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLUEYES.MID,0.9351839215899795,32,83,51,120,74,Blue,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluevelvet2.mid,0.9101806861241521,29,94,65,77,125,Blue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bluevelvet L.mid,0.6402886534454586,30,98,68,81,82,Blue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
