,name,key confidence,min pitch,max pitch,pitch_range,bpm,velocity,Color,key_A major,key_C major,key_D major,key_E major,key_F major,key_F# major,key_G major,key_f minor,key_g minor,time signature_2/4,time signature_4/4,key_A- major,key_B- major,key_b- minor,key_c minor,key_e minor
0,YellowRoseOfTexas7.mid,0.931365827110076,35,77,42,275,76,Yellow,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
1,YellowRoseOfTexas3.mid,0.7931356115820479,31,77,46,120,87,Yellow,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
2,YellowRoseOfTexas4.mid,0.8394557982966059,31,77,46,120,108,Yellow,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
3,YellowRoseOfTexas6.mid,0.8394557982966059,31,77,46,120,108,Yellow,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
4,YellowRoseOfTexas2.mid,0.9423193554353068,60,77,17,210,67,Yellow,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
5,YellowRoseOfTexas1.mid,0.8950499131898236,36,79,43,20,90,Yellow,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
6,yellowrose3.mid,0.8989921392791007,31,77,46,120,107,Yellow,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
7,yellowrose2.mid,0.8287928179432545,31,73,42,97,80,Yellow,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
8,YellowRose.mid,0.8851699243695113,31,91,60,145,99,Yellow,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
9,YellowRiver.mid,0.8853140211604367,28,79,51,126,90,Yellow,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
10,yellowribbon.mid,0.9447401125905748,38,72,34,155,126,Yellow,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
11,Yellow.mid,0.8394557982966059,31,77,46,120,108,Yellow,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
12,yellowr2.mid,0.8752659319160564,31,74,43,110,100,Yellow,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
13,Yellow-Sun-Of-Equador.mid,0.5727041177113327,38,82,44,110,70,Yellow,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
14,yellow2.mid,0.5297453650912332,0,87,87,145,94,Yellow,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
15,yellowbird.mid,0.8778891815197831,36,77,41,120,103,Yellow,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
16,yellowleadbetter.mid,0.7906336105265979,28,80,52,120,127,Yellow,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
17,yellowr.mid,0.8752659319160564,31,74,43,109,100,Yellow,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
18,Yellow-Submarine.mid,0.917815412081145,32,83,51,108,82,Yellow,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
19,Yellow-River-2.mid,0.8845891411248922,28,79,51,123,83,Yellow,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
20,Yellow-River-1.mid,0.907512702744847,28,78,50,120,87,Yellow,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
21,YELLOW_R.MID,0.907512702744847,28,78,50,120,87,Yellow,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
22,yellow_submarine_in_pepperland.mid,0.8653630040345922,31,84,53,116,87,Yellow,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
23,Yellow_Bird.mid,0.935485038336316,29,96,67,114,69,Yellow,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
24,yellow_submarine.mid,0.8961206987302768,32,84,52,107,75,Yellow,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
25,yellow_submarine2.mid,0.8653516988538441,31,84,53,116,87,Yellow,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
26,Tony_Orlando_-_Tie_a_Yellow_Ribbon.mid,0.8940276125953891,29,101,72,160,83,Yellow,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
27,The_Beatles_-_Yellow_Submarine.mid,0.8653516988538441,31,84,53,116,87,Yellow,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
28,Donovan_-_Mellow_Yellow.mid,0.7777597831419275,19,77,58,100,102,Yellow,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
29,Bluegrass_-_Yellow_Rose_Of_Texas.mid,0.8989921392791007,31,77,46,120,107,Yellow,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
30,Brian_Hyland_-_Yellow_Polka_Dot_Bikini.mid,0.867803296266673,38,93,55,136,82,Yellow,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
31,YellowSubmarine.mid,0.8653516988538441,31,84,53,116,87,Yellow,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
32,YellowSubmarine2.mid,0.8653516988538441,31,84,53,116,87,Yellow,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
33,yellowsu.mid,0.8653516988538441,31,84,53,110,108,Yellow,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
34,YellowSub.mid,0.917279485832542,30,102,72,120,117,Yellow,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
35,YellowRoseOfTexas8.mid,0.9423193554353068,60,77,17,210,67,Yellow,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
36,purplehaz.mid,0.6528631382668492,28,84,56,112,101,Purple,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0
37,Purple-Rain-2.mid,0.9109831544575232,28,92,64,58,103,Purple,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0
38,Purple_Haze_3.MID,0.7489651595382772,31,67,36,106,107,Purple,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
39,purple2.mid,0.7622610668832449,31,74,43,106,104,Purple,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
40,purple.mid,0.6030460434667558,28,81,53,112,86,Purple,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0
41,Purple_Haze_2.mid,0.7187299659802607,31,67,36,106,122,Purple,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
42,Purple-Rain-1.mid,0.9246094296124672,28,92,64,60,88,Purple,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0
43,Purple_Haze_1.mid,0.7619084915005044,31,74,43,106,105,Purple,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
44,Prince_-_Purple_Rain.mid,0.860053061319143,26,90,64,60,93,Purple,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
45,Prince - Purple Rain.mid,0.860053061319143,26,90,64,60,93,Purple,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
46,Jimi_Hendrix_-_Purple_Haze.mid,0.6528631382668492,28,84,56,112,101,Purple,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0
47,smoke_on_the_water-deep_purple.mid,0.7656439934771406,10,87,77,120,99,Purple,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
48,Super Mario Galaxy - Purple Comet.mid,0.8278771527304096,32,86,54,140,89,Purple,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0
49,Sheb_Wooley_-_Purple_People_Eater.mid,0.7868860129477385,29,108,79,145,102,Purple,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0
50,PurpleWaves.mid,0.8324233676959389,31,86,55,61,56,Purple,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0
51,red_hot_chili_peppers-purple_stain.mid,0.6713834389771806,28,84,56,100,107,Purple,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0
52,PurpleHaze3.mid,0.7187299659802607,31,67,36,106,122,Purple,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
53,PurpleHaze2.mid,0.7489651595382772,31,67,36,106,107,Purple,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
54,PurpleHaze.mid,0.7187299659802607,31,67,36,106,122,Purple,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
